ID,Storm_Name,Year,Tier,Overall,Category,peak_wind_mph,min_pressure_mb,ace,duration_hours,fatalities,wind_pct,pres_pct,ace_pct,dur_pct,fat_pct,image_url
AL051985,ELENA,1985,Gold,76,3,127,953,15.82,126,9,90.3,89,81.3,58.6,41.6,https://upload.wikimedia.org/wikipedia/commons/d/d7/Elena_1985-09-01_2100Z.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
AL091986,EARL,1986,Gold,76,2,104,979,21.31,216,,78.4,66.7,87.9,82.2,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bf/Earl_1986-09-14_1431Z.jpg/1280px-Earl_1986-09-14_1431Z.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL121987,EMILY,1987,Gold,76,3,127,958,10.49,144,,89.9,85.5,72.6,65.8,50,https://upload.wikimedia.org/wikipedia/commons/0/0d/Emily_1987-09-22_1900Z.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
AL021998,BONNIE,1998,Gold,76,3,115,954,25.37,258,5,82.9,88.7,91.1,88.4,28.6,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4e/Bonnie_1998-08-23_1445Z.png/1280px-Bonnie_1998-08-23_1445Z.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL072001,FELIX,2001,Gold,76,3,115,962,15.22,168,,85.6,83.6,80.9,72.1,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/79/Felix_2001-09-13_1330Z.jpg/1280px-Felix_2001-09-13_1330Z.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL042004,DANIELLE,2004,Gold,76,2,109,964,12.14,156,,82.5,82.4,75.9,69,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/74/Danielle_2004-08-16_1615Z.png/1280px-Danielle_2004-08-16_1615Z.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL092005,IRENE,2005,Gold,76,2,104,970,13.14,264,,75.3,78.4,77.8,89.1,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b0/Irene_2005-08-16_1456Z_%28large%29.jpg/1280px-Irene_2005-08-16_1456Z_%28large%29.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL132012,MICHAEL,2012,Gold,76,3,115,964,16.98,186,,84.8,82.2,83,75.6,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/cd/Michael_2012-09-06_1620Z.jpg/1280px-Michael_2012-09-06_1620Z.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL132024,LESLIE,2024,Gold,76,2,104,970,16.14,222,,78.1,78.1,81.8,82.7,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/49/Leslie_2024-10-10_0432Z.jpg/1280px-Leslie_2024-10-10_0432Z.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL182024,RAFAEL,2024,Gold,76,3,121,954,12.41,138,,88.9,88.6,76.5,62.1,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b4/Rafael_2024-11-08_0325Z.jpg/1280px-Rafael_2024-11-08_0325Z.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL091867,Hurricane Nine,1867,Gold,75,3,127,952,8.98,96,,90,89.2,68.5,49.2,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8c/Nine_1867_path.png/1280px-Nine_1867_path.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL061878,Hurricane Six,1878,Gold,75,2,104,,17.14,162,,78.5,75.9,83.3,70.5,50,https://upload.wikimedia.org/wikipedia/commons/1/18/1878_Atlantic_hurricane_6_track.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
AL021879,Hurricane Two,1879,Gold,75,3,115,971,13.58,186,,85.4,72.2,78.5,75.9,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e8/The_Great_Beaufort_Hurricane_of_1879_%28Hurricane_Two%29_weather_map%2C_August_18%2C_1879.jpg/1280px-The_Great_Beaufort_Hurricane_of_1879_%28Hurricane_Two%29_weather_map%2C_August_18%2C_1879.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL041880,Hurricane Four,1880,Gold,75,2,104,972,17.78,198,,78.7,71.7,84.2,77.9,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/91/Hurricane_Four_weather_map%2C_August_29%2C_1880.jpg/1280px-Hurricane_Four_weather_map%2C_August_29%2C_1880.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL071886,Hurricane Seven,1886,Gold,75,3,115,,12.45,126,,85.2,87,76.7,59.9,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/3f/Hurricane_Seven_weather_map%2C_August_23%2C_1886.jpg/1280px-Hurricane_Seven_weather_map%2C_August_23%2C_1886.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
